dt_ref,publico,camada,n_pessoas,pct_base_insider
2026-09-03,Cliente,Cliente,627444,0.10224114671520798
2026-09-03,Cliente,Lead ativo total,0,0.0
2026-09-03,Ex-membro,Contato de reativacao,789298,0.12861503595543225
2026-09-03,Ex-membro,Contato inativo,5777,0.0009413542954809617
2026-09-03,Ex-membro,Lead ativo total,131828,0.021481193364144748
2026-09-03,Ex-membro,Lead reengajado,121509,0.019799726344053345
2026-09-03,Ex-membro,Oportunidade,10319,0.0016814670200914043
2026-09-03,Não-membro,Contato de reativacao,3512035,0.5722813282204395
2026-09-03,Não-membro,Contato inativo,618881,0.10084581750762558
2026-09-03,Não-membro,Lead ativo total,451640,0.07359412394166895
2026-09-03,Não-membro,Oportunidade,32913,0.005363128600859424
2026-09-03,Não-membro,Prospect,47568,0.007751140925642787
2026-09-03,Não-membro,Somente Lead,371159,0.06047985441516674
2026-09-03,Todos,Canal vivo total,5499416,0.8961223600894458
2026-09-03,Todos,Canal vivo · Email,3213079,0.5235668544867011
2026-09-03,Todos,Canal vivo · Push,780122,0.1271198192312963
2026-09-03,Todos,Canal vivo · SMS,4845155,0.7895114196851408
2026-09-03,Todos,Canal vivo · WhatsApp,4463458,0.7273144124976393
